Hello,你好,Nǐ hǎo
Beautiful,漂亮,Piàoliang
Ugly,丑,Chǒu
Clean,干净,Gānjìng
Dirty,脏,Zāng
Smart,聪明,Cōngmíng
Stupid,笨,Bèn
Rich,富有,Fùyǒu
Poor,贫穷,Pínqióng
Cheap,便宜,Piányí
Expensive,贵,Guì
Important,重要,Zhòngyào
Interesting,有趣,Yǒuqù
Boring,无聊,Wúliáo
Safe,安全,Ānquán
Dangerous,危险,Wēixiǎn
Near,近,Jìn
Far,远,Yuǎn
Cold,冷,Lěng
Hot,热,Rè
Warm,温暖,Wēnnuǎn
Cool,凉快,Liángkuai
Dry,干燥,Gānzào
Wet,湿润,Shīrùn
Busy,忙,Máng
Free,空闲,Kòngxián
Hard,硬,Yìng
Soft,软,Ruǎn
Full (not hungry),饱,Bǎo
Empty (stomach),饿,È
Left (direction),左边,Zuǒbiān
Right (direction),右边,Yòubiān
Forward,向前, Xiàngqián
Backward,向后, Xiànghòu
Inside,里面,Lǐmiàn
Outside,外面,Wàimiàn
Above,上面,Shàngmiàn
Below,下面,Xiàmiàn
Good,好,Hǎo
Bad,坏,Huài
Cold,冷,Lěng
Hot,热,Rè
Warm,温暖,Wēnnuǎn
Sunny,阳光明媚,Yángguāng míngmèi
Cloudy,多云,Duōyún
Windy,有风,Yǒu fēng
Rainy,下雨, Xiàyǔ
Snowy,下雪, Xiàxuě
Stormy,暴风雨,Bàofēngyǔ
Foggy,有雾,Yǒu wù
Humid,潮湿,Cháoshī
Dry,干燥,Gānzào
Summer,夏天, Xiàtiān
Winter,冬天,Dōngtiān
Spring,春天,Chūntiān
Autumn,秋天,Qiūtiān
Breakfast,早餐,Zǎocān
Lunch,午餐,Wǔcān
Dinner,晚餐,Wǎncān
Snack,零食,Língshí
Vegetarian,素食者,Sùshízhě
Vegan,纯素食者,Chúnsùshízhě
Spicy,辣,Là
Sweet,甜,Tián
Sour,酸,Suān
Salty,咸,Xián
Bitter,苦,Kǔ
Delicious,好吃,Hǎochī
Room,房间,Fángjiān
Kitchen,厨房,Chúfáng
Living room,客厅,Kètīng
Bedroom,卧室,Wòshì
Bathroom,浴室,Yùshì
Window,窗户,Chuānghu
Door,门,Mén
Floor,地板,Dìbǎn
Ceiling,天花板,Tiānhuābǎn
Wall,墙,Qiáng
Chair,椅子,Yǐzi
Table,桌子,Zhuōzi
Bed,床,Chuáng
Closet,衣柜,Yīguì
Mirror,镜子,Jìngzi
Lamp,灯,Dēng
Picture,图片,Túpiàn
Painting,画,Huà
Television,电视,Diànshì
Fridge,冰箱,Bīngxiāng
Oven,烤箱,Kǎoxiāng
Stove,炉子,Lúzi
Microwave,微波炉,Wēibōlú
Washing machine,洗衣机,Xǐyījī
Dishwasher,洗碗机,Xǐwǎnjī
Spoon,勺子,Sháozi
Fork,叉子,Chāzi
Knife,刀,Dāo
Plate,盘子,Pánzi
Bowl,碗,Wǎn
Cup,杯子,Bēizi
Glass,玻璃杯,Bōlí bēi
Bottle,瓶子,Píngzi
Napkin,餐巾,Cānjīn
Towel,毛巾,Máojīn
Soap,肥皂,Féizào
Shampoo,洗发水,Xǐfàshuǐ
Toothpaste,牙膏,Yágāo
Toothbrush,牙刷,Yáshuā
Hairbrush,梳子,Shūzi
Comb,梳子,Shūzi
Razor,剃须刀,Tìxūdāo
Toilet paper,卫生纸,Wèishēngzhǐ
Pillow,枕头,Zhěntou
Blanket,毯子,Tǎnzi
Sheet,床单,Chuángdān
Curtain,窗帘,Chuānglián
Fan,风扇,Fēngshàn
Air conditioner,空调,Kòngtiáo
Heater,加热器,Jiārèqì
Clothes,衣服,Yīfú
Shirt,衬衫,Chènshān
T-shirt,体恤衫,Tǐxùshān
Pants,裤子,Kùzi
Skirt,裙子,Qúnzi
Dress,连衣裙,Liányīqún
Jacket,夹克,Jiākè
Coat,外套,Wàitào
Sweater,毛衣,Máoyī
Shoes,鞋子,Xiézi
Socks,袜子,Wàzi
Hat,帽子,Màozi
Scarf,围巾,Wéijīn
Gloves,手套,Shǒutào
Belt,皮带,Pídài
Wallet,钱包,Qiánbāo
Bag,包,Bāo
Suit,西装,Xīzhuāng
Tie,领带,Lǐngdài
Watch,手表,Shǒubiǎo
Ring,戒指,Jièzhǐ
Necklace,项链,Xiàngliàn
Bracelet,手镯,Shǒuzhuó
Earrings,耳环,Ěrhuán
Sunglasses,太阳镜,Tàiyángjìng
Glasses,眼镜,Yǎnjìng
Backpack,背包,Bèibāo
Homework,作业,Zuòyè
Exam,考试,Kǎoshì
Teacher,老师,Lǎoshī
Student,学生,Xuéshēng
Classroom,教室,Jiàoshì
School,学校,Xuéxiào
University,大学,Dàxué
Library,图书馆,Túshūguǎn
Bookstore,书店,Shūdiàn
Lesson,课程,Kèchéng
Test,测试,Cèshì
Answer,答案,Dá'àn
Question,问题,Wèntí
Dictionary,词典,Cídiǎn
Notebook,笔记本,Bǐjìběn
Pencil,铅笔,Qiānbǐ
Pen,钢笔,Gāngbǐ
Ruler,尺子,Chǐzi
Eraser,橡皮,Xiàngpí
Paper,纸,Zhǐ
Glue,胶水,Jiāoshuǐ
Marker,马克笔,Mǎkèbǐ
Board,黑板,Hēibǎn
Bag,包,Bāo
